,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
889,Sl4shD,PT ,2,100%,10,3,1,7,7.7,412,69.9%,19.8,488,1.26,0.4,0.1,0.13,1429,19,650,0%,0%,0,1
890,Sleyer,FR ,6,100%,3.5,4.7,2.8,5.3,8.2,438,58.3%,24.9,589,1.09,0.33,0.2,0.09,-262,-0,-500,16.7%,33.3%,0,7
891,Slipper,PL ,5,0%,0.9,0.8,4.6,3.2,0.7,239,80%,11.2,186,2.46,1.18,0.33,0.29,-38,-6,-297,20%,0%,0,2
892,Sloth,KR ,2,50%,2,0.5,3,5.5,0.7,236,73.3%,11.4,210,2.87,1.97,0.4,0.55,-1190,-6,-780,0%,50%,0,-
893,SlowQ,KR ,5,80%,6.4,4.4,1.4,4.6,8.3,394,57.2%,22.8,550,1.08,0.39,0.2,0.19,402,7,369,20%,0%,0,-
894,Slyv3r,NL ,2,50%,5,5,2.5,7.5,8,391,67.9%,22.7,544,0.97,0.32,0.16,0.14,-216,-6,-246,50%,0%,0,1
895,Smarty,CZ ,1,100%,3,0,3,9,0.7,228,75%,8.7,233,1.98,0.97,0.19,0.25,-2019,-4,-1037,0%,0%,0,-
896,Smash,KR ,10,80%,5.1,4.5,1.9,5.1,9.9,469,76.1%,28.1,666,1.38,0.36,0.33,0.14,755,10,160,20%,30%,0,-
897,Smoothie,CA ,7,42.9%,2.2,1.7,3.6,6.3,0.8,242,70.2%,13.8,268,2.17,1.25,0.28,0.27,-483,-5,-277,42.9%,14.3%,0,-
898,Smurfe,NO ,6,50%,1.5,1.8,4,4,8.4,404,49.5%,27,490,1.18,0.4,0.17,0.15,-72,4,-222,0%,33.3%,0,1
899,Sn1lle,SE ,3,100%,6.2,2.7,1.7,7.7,5.8,365,80%,22.9,491,1.88,0.56,0.42,0.17,-338,-6,-324,66.7%,0%,0,-
900,Snabi,SE ,2,0%,1.2,1,5,5,1,236,76.4%,13.9,233,1.98,1.06,0.19,0.34,-490,4,-69,0%,0%,0,-
901,Snaker,AR ,2,100%,13,6,1,7,10.2,480,66.1%,33.7,945,1.41,0.4,0.31,0.15,658,14,-35,0%,0%,0,-
902,SneakyLemon,GR ,2,50%,2.4,1.5,4,8,5.4,325,87.5%,18.3,403,1.18,0.13,0.27,0.13,-58,-19,-428,100%,0%,0,-
903,Sniper,US ,7,57.1%,4,3.1,2.1,5.4,8.2,398,50.6%,21.2,533,0.87,0.39,0.07,0.14,-175,-3,-346,28.6%,0%,0,6
904,Soboro,KR ,2,50%,1.7,3,3,2,8.3,421,63.3%,26.5,568,0.66,0.36,0.1,0.03,700,18,1185,0%,50%,0,1
905,Solid,PE ,2,100%,7,3.5,1.5,7,4.9,343,80.2%,11.8,281,1.25,0.31,0.29,0.31,394,8,422,50%,0%,0,2
906,Soligo,US ,6,66.7%,4.9,3.3,2.7,9.8,8.6,414,58.6%,28.1,694,0.91,0.37,0.15,0.14,3,2,402,33.3%,0%,0,-
907,Sorya,FR ,6,100%,7.5,1,1.7,11.5,1.8,262,74.7%,8,190,2.18,0.84,0.39,0.13,-39,22,898,16.7%,0%,0,-
908,Sotsy,FR ,6,0%,2.1,2.5,2.7,3,7.4,374,50.7%,19.7,346,1.1,0.39,0.19,0.18,104,-9,200,50%,0%,0,3
909,Soul,ES ,4,25%,1.5,1.8,3.8,4,5.5,308,78.2%,13.9,316,1.2,0.19,0.35,0.29,-603,-0,-247,0%,0%,0,-
910,Sounda,KR ,10,60%,3,2.3,2.8,6.1,5.3,332,63.1%,14.7,331,1.75,0.52,0.44,0.36,-92,-3,-53,40%,0%,0,2
911,Southwind,CN ,3,66.7%,3,0,2.3,7,0.7,228,50%,5.6,132,-,-,-,-,-,-,-,-,-,-,-
912,Soweto,BR ,2,100%,3.8,0.5,2,7,5.3,325,60%,10.3,255,1.57,0.5,0.35,0.49,-21,9,48,100%,0%,0,-
913,Sparz,TR ,2,0%,2.8,1.5,4,9.5,0.6,213,76.4%,10.6,250,2.28,1.61,0.15,0.41,-180,-11,-86,50%,0%,0,-
914,Spawn,CA ,2,0%,0,0,2.5,0,8.6,336,0%,27.6,414,0.79,0.37,0.22,0.12,-1840,-24,-420,0%,50%,0,-
915,Special,NL ,4,100%,4.8,5.8,2.5,6.3,9.1,433,65.6%,21.7,621,1.24,0.45,0.23,0.17,-187,1,-290,0%,0%,0,5
916,Speedy,IT ,1,100%,12,4,1,8,5.4,386,85.7%,10.5,285,1.28,0.21,0.08,0.25,824,7,193,100%,0%,0,-
917,Spica,CN ,2,100%,11,2.5,1,8.5,5.7,366,68.8%,18.5,463,1.49,0.33,0.28,0.23,235,-1,-310,50%,0%,0,-
918,Spirax,CA ,6,83.3%,4.1,5,2.8,6.7,8.6,432,58.1%,27.2,730,1.08,0.33,0.22,0.16,92,-2,231,16.7%,16.7%,0,2
919,Sponge,KR ,8,50%,2,2.1,3.4,4.6,4.8,318,67.6%,17.8,362,1.77,0.47,0.48,0.3,203,-6,-214,50%,0%,0,1
920,Spooder,SE ,2,0%,3.4,2,2.5,6.5,6,327,68.1%,18.5,357,0.98,0.41,0.05,0.2,-1034,-12,39,0%,50%,0,-
921,Spooky,BG ,2,100%,5.2,1.5,2.5,11.5,5.1,361,78.7%,26.2,734,1.57,0.18,0.41,0.13,334,10,312,100%,0%,0,-
922,Srtty,AU ,6,16.7%,2.7,2.7,2,2.7,8.3,388,54.9%,25,518,0.95,0.31,0.16,0.07,110,9,62,16.7%,0%,0,2
923,StarScreen,TR ,2,50%,2.2,2,2.5,3.5,7.2,346,58.3%,23.7,473,0.85,0.45,0.14,0.17,-924,-10,118,0%,0%,0,1
924,Starlit,KR ,1,100%,5,3,3,12,9.6,446,57.7%,25.2,830,1.04,0.16,0.25,0.08,40,1,299,100%,0%,0,-
925,Steal,KR ,2,0%,1.3,1,4,4,4.7,277,94.4%,12.4,251,1.26,0.43,0.37,0.41,-627,-26,-472,0%,0%,0,1
926,Steeelback,FR ,4,75%,7.3,1,1.5,10,0.4,262,80.1%,7.4,149,2.2,1.23,0.16,0.32,695,-4,592,75%,0%,0,-
927,Stefan,RS ,2,100%,7.3,3.5,2,11,5.8,371,62%,12.5,380,1.72,0.37,0.39,0.2,376,31,625,50%,0%,0,-
928,StenBosse,SE ,2,100%,5.3,3,1.5,5,7.6,398,33.3%,19.3,573,0.92,0.3,0.14,0.14,460,-6,-261,0%,0%,0,1
929,Stend,FR ,5,20%,2.6,0.2,2.8,7.2,0.9,221,85.4%,7.8,150,3.26,1.7,0.39,0.43,-75,6,220,40%,0%,0,-
930,StineR,BR ,2,50%,3.3,1,3,9,4.6,308,78.3%,14.3,336,1.14,0.29,0.32,0.27,-24,-4,-372,50%,0%,0,-
931,Sting,BR ,2,100%,4.7,1,3.5,15.5,5.4,357,80.5%,10.7,274,2.04,0.31,0.61,0.29,77,4,754,50%,0%,0,-
932,Stixxay,US ,2,0%,1.2,2,4.5,3.5,9.2,394,61.9%,25.9,525,1.06,0.34,0.28,0.07,-961,-16,-860,0%,50%,0,2
933,Stomaged,TR ,2,50%,2.1,1.5,4.5,8,4.5,304,60.8%,15.9,339,1.59,0.35,0.32,0.34,26,-14,-284,0%,0%,0,-
934,Stookbeer,NL ,2,0%,1.4,2.5,4.5,4,1.4,251,59.4%,9.1,185,3.31,1.66,0.52,0.34,88,-2,-9,0%,0%,0,-
935,Stormax,FR ,6,50%,5,3.2,2.5,9.3,5.2,344,75.6%,12.3,299,1.65,0.51,0.35,0.4,145,3,-45,33.3%,16.7%,0,1
936,Strive,CN ,3,66.7%,2.5,3.3,2.7,3.3,8.9,396,47.6%,26.5,615,-,-,-,-,-,-,-,-,-,-,-
937,Strode,CZ ,1,100%,13,6,1,7,7.3,452,92.9%,28.4,770,1.24,0.46,0.12,0.17,404,7,130,100%,0%,0,-
938,Subbex,SI ,2,0%,2.7,0.5,1.5,3.5,9.3,399,43.8%,28.4,555,1.29,0.44,0.15,0.18,-162,2,-463,0%,0%,0,-
939,Summit,KR ,2,0%,0.8,2,5,2,8.2,395,38.3%,25.6,617,0.88,0.35,0.17,0.2,506,16,184,0%,0%,0,1
940,Supa,ES ,5,80%,4.7,6.2,2.4,5,9.3,474,63.8%,30.7,641,1.42,0.46,0.38,0.11,417,7,643,60%,20%,0,-
941,SuperCleber,BR ,2,100%,11,5.5,1,5.5,7.5,412,55.9%,27.7,750,1.21,0.45,0.24,0.27,96,4,-180,50%,0%,0,1
942,Svenskeren,DK ,7,42.9%,3.2,2.1,3,7.6,5.3,336,70.6%,12.9,285,1.41,0.31,0.24,0.24,268,-4,54,42.9%,0%,0,1
943,Sword,US ,7,14.3%,3.3,1,2.7,8,0.6,222,63.4%,7.7,152,2.23,1.33,0.25,0.35,-484,-2,-371,28.6%,0%,0,1
944,SwordArt,TW ,4,0%,1.3,0.5,4,4.5,0.5,208,72.6%,7.8,167,-,-,-,-,-,-,-,-,-,-,-
945,Sylvie,KR ,10,30%,3,2,2.3,5,4.9,311,68.6%,13.8,283,1.82,0.49,0.51,0.38,237,3,260,40%,0%,0,2
946,Synapse,GB ,2,0%,0.4,0.5,5.5,1.5,6.3,293,63.6%,22.4,410,1.16,0.4,0.14,0.18,-904,9,-198,50%,0%,0,1
947,Syrpy,PL ,5,40%,3.8,0.8,2.2,7.6,1.4,235,64.7%,7.6,153,3,1.28,0.49,0.33,116,10,374,20%,0%,0,-
948,Szygenda,DK ,5,40%,2.5,1.6,2.6,5,7.5,361,57%,18.4,396,1.33,0.52,0.23,0.15,559,20,483,20%,0%,0,2
949,TEDDYBEAR,RS ,3,66.7%,11.3,1,1,10.3,0.9,254,85.5%,13.6,302,2.68,1.26,0.34,0.29,459,-2,-28,0%,33.3%,0,-
950,Tactical,US ,2,0%,0.8,0.5,3,2,8.3,357,75%,28.5,473,0.69,0.42,0.11,0.15,-801,-24,-448,50%,50%,0,1
951,Taeyoon,KR ,9,11.1%,1.5,2.2,3.4,2.9,8.9,386,71.6%,23.4,479,1.55,0.58,0.47,0.19,-527,-6,-443,22.2%,22.2%,0,1
952,TakeSet,DK ,4,75%,8.8,3.5,1,5.3,9.7,467,68.6%,26,557,1.57,0.4,0.37,0.13,1198,15,658,75%,0%,0,-
953,Takeover,CL ,2,100%,36,4.5,0.5,13.5,7.3,389,76.6%,21.7,711,1,0.33,0.17,0.17,260,10,277,0%,0%,0,-
954,TamoZ,FR ,2,50%,2.4,2.5,2.5,3.5,7.9,403,70.1%,30.5,549,1.12,0.45,0.17,0.17,-4,11,246,50%,0%,0,-
955,Tangyuan,CN ,4,50%,2.4,1.5,2.8,5,7.7,345,63.8%,20,382,-,-,-,-,-,-,-,-,-,-,-
956,Targamas,BE ,5,20%,4.5,1.4,2,7.6,1,243,78.6%,10.1,234,2.83,1.33,0.39,0.27,-214,4,258,60%,0%,0,-
957,Tarzan,KR ,2,100%,8.7,3.5,1.5,9.5,5.1,353,79.8%,15.6,347,-,-,-,-,-,-,-,-,-,-,-
958,Tasteless,RS ,3,66.7%,13.3,0.3,1,13,0.7,277,66.9%,7.9,167,2.32,1.13,0.24,0.26,896,-1,920,66.7%,0%,0,-
959,Tatu,BR ,2,0%,0.3,0,3.5,1,5.7,306,33.3%,26.3,393,1.7,0.57,0.5,0.2,-332,-10,-43,0%,50%,0,-
960,Taxer,DK ,2,100%,3,2,3,7,5.2,340,54.8%,14.8,328,1.31,0.26,0.3,0.25,-216,-6,-432,50%,0%,0,1
961,Tay,BR ,4,25%,3.7,1.5,2.3,6.8,6.8,344,49.4%,22.5,482,1.15,0.36,0.2,0.19,-245,-6,395,0%,25%,0,2
962,Tazaku,DE ,4,25%,1.3,1.8,3,2,8.5,380,61.4%,25.6,477,0.99,0.42,0.21,0.17,-792,-21,-902,25%,0%,0,-
963,Tchokez,BE ,2,50%,3.8,0,2.5,9.5,0.9,222,61.4%,5.2,129,2.39,1.52,0.18,0.26,240,10,500,0%,0%,0,-
964,Teiyon,IT ,2,50%,1.6,2,3.5,3.5,6.9,360,53.6%,19.5,371,0.89,0.24,0.25,0.08,-910,-24,-178,0%,0%,0,-
965,Telas,BR ,2,100%,2.4,2,5,10,1.1,258,58.2%,8.9,226,3.21,1.33,0.44,0.39,-160,6,-578,50%,50%,0,-
966,Tempt,KR ,2,50%,3.3,2,1.5,3,8.9,364,54.2%,32.1,648,1.35,0.56,0.14,0.28,-106,11,-54,0%,0%,0,-
967,Tenacity,CA ,2,50%,1.6,2,4,4.5,9.2,414,63.8%,20.9,488,0.84,0.29,0.14,0.1,-350,12,-172,0%,50%,0,1
968,Thanatos,KR ,10,80%,5.4,2.8,1.4,4.8,9.3,419,46.3%,22,472,1.17,0.34,0.24,0.17,517,16,411,0%,10%,0,6
969,Thayger,ES ,4,100%,5.7,4,1.8,6,6.2,393,57.2%,17.4,320,1.8,0.27,0.45,0.21,57,3,-108,75%,0%,0,1
970,TheBash,NL ,1,0%,0.6,2,5,1,5.6,292,60%,21.8,442,1.05,0.52,0.1,0.16,-887,-23,-270,0%,0%,0,1
971,TheShy,KR ,3,66.7%,2,2.3,2.3,2.3,8.6,404,39.8%,28,577,-,-,-,-,-,-,-,-,-,-,-
972,Tian,CN ,5,60%,2.9,2,2.6,5.6,5.2,329,67.7%,12,242,-,-,-,-,-,-,-,-,-,-,-
973,Time,PT ,2,100%,4.3,3.5,2,5,6,389,58.6%,22.6,552,1.39,0.3,0.35,0.25,778,14,338,0%,0%,0,-
974,Tinelli,IT ,2,50%,9.8,1.5,2,18,0.1,255,92.5%,6.2,192,1.57,0.89,0.04,0.24,35,-11,876,50%,0%,0,-
975,Tinowns,BR ,4,50%,7,3.5,1.5,7,8.7,394,70.5%,25.1,581,1.27,0.61,0.17,0.3,141,-7,-236,0%,0%,0,-
976,Titan,BR ,4,100%,13.3,6,1,7.3,8.8,453,68.3%,28.9,733,1.59,0.56,0.42,0.23,230,-2,130,75%,0%,0,-
977,Tochas,PT ,2,50%,7.5,0.5,1,7,0.7,232,83.7%,7.2,155,2.42,1.27,0.38,0.43,250,-2,546,0%,0%,0,-
978,Toffe,LT ,2,0%,1.4,1.5,3.5,3.5,9.2,375,76.9%,17.3,296,1.24,0.34,0.35,0.12,72,-2,70,0%,0%,0,-
979,Tomio,CA ,6,83.3%,6.4,3.2,1.3,5.3,5.8,369,48.5%,12.8,316,1.72,0.41,0.35,0.24,307,10,165,16.7%,33.3%,0,1
980,Tomo,US ,6,66.7%,2.9,4,2.5,3.2,9.2,424,52.8%,26.5,751,1.22,0.38,0.25,0.13,660,21,541,33.3%,0%,0,-
981,TopLop,AR ,2,0%,1.2,1,3,2.5,7.6,336,42.1%,17.5,377,1.06,0.28,0.22,0.2,-744,-4,-204,0%,50%,0,-
982,Torak,ES ,4,25%,3,2.5,2.3,4.3,8.4,360,55.6%,22.1,435,1.1,0.37,0.18,0.08,-294,-8,-470,0%,0%,0,-
983,Tore,NO ,4,100%,6.7,0.8,1.8,11,0.9,272,78.2%,11.1,259,3.33,1.38,0.6,0.29,367,-0,-527,25%,50%,0,-
984,Touch,NO ,2,50%,6.3,2.5,2,10,1,285,78.6%,8.4,154,3.35,1.51,0.48,0.44,712,0,292,50%,0%,0,-
985,Toucouille,FR ,4,50%,6,6.5,2.3,7,8.2,416,73%,29.1,672,1.45,0.4,0.29,0.18,585,10,562,25%,0%,0,-
986,Tracyn,PL ,4,25%,2.4,1,2,3.8,8,358,45.2%,18.2,344,1.11,0.35,0.16,0.1,-415,-13,-384,0%,0%,0,-
987,Trevis,BR ,2,50%,1.8,3,4,4,6.9,339,46.4%,23.3,457,1.11,0.36,0.15,0.16,-424,-8,-514,50%,0%,0,1
988,Trevor,US ,7,71.4%,6.8,1.4,2.3,14.1,0.8,280,76%,10.7,254,2.94,1.59,0.42,0.4,683,-3,525,28.6%,14.3%,0,-
989,Trigger,KR ,4,25%,3.2,5,2.5,3,9.5,435,76.7%,22.2,414,1.53,0.39,0.36,0.14,77,-2,225,0%,50%,0,1
990,Trigo,BR ,4,50%,4.6,4,2,5.3,8.8,417,65.6%,21,436,1.34,0.52,0.41,0.24,-96,-2,107,50%,0%,0,1
991,Tron,AU ,2,0%,0.5,0.5,4,1.5,8.1,334,50%,24.7,376,0.59,0.29,0.08,0.06,50,10,180,0%,0%,0,-
992,Trymbi,PL ,5,40%,3.2,1.4,2.8,7.6,0.6,231,81.3%,11.4,234,2.67,1.54,0.25,0.3,213,4,348,40%,0%,0,-
993,Tsiperakos,GR ,4,75%,3.8,4.3,2.5,5.3,7.9,399,64.5%,18.7,458,1.72,0.44,0.29,0.11,-542,-7,-158,25%,25%,0,-
994,Tsubasa,PT ,2,50%,1.1,2,4,2.5,4.8,319,35.1%,13.8,271,1.27,0.15,0.34,0.15,-1250,-22,-852,50%,0%,0,-
995,Tutsz,BR ,2,0%,1.3,0.5,4.5,5.5,7.6,348,85%,29.3,588,1.21,0.38,0.17,0.2,-518,8,-344,50%,50%,0,-
996,Twelve,FR ,6,50%,2.5,2,2.5,4.2,8.6,397,44.6%,18.6,367,0.91,0.28,0.16,0.1,-169,-2,-171,0%,16.7%,0,2
997,Twiizt,SE ,4,0%,1.2,1,3.8,3.5,0.9,214,41.7%,12.6,218,2.9,1.13,0.46,0.25,-41,-2,-22,25%,0%,0,-
998,TynX,DK ,1,100%,-,7,0,11,5.9,454,100%,18.4,329,1.6,0.21,0.31,0.17,2312,7,999,100%,0%,0,-
999,Typhoon,TR ,2,0%,1.3,3,5,3.5,5.1,310,84.6%,11,216,2.02,0.74,0.42,0.34,781,14,529,50%,0%,0,-
1000,Typical,PL ,2,0%,0.6,0,4.5,2.5,7,326,43.3%,18,336,0.93,0.39,0.15,0.09,-504,-12,-428,0%,0%,0,-
1001,Tyrin,BR ,2,100%,5.8,4.5,2,7,8.1,421,56.2%,19.2,473,1.22,0.47,0.12,0.18,60,-8,196,0%,0%,0,2
1002,UNF0RGIVEN,SE ,5,60%,5.8,6,2.4,7.8,9.5,472,64.6%,27.5,735,1.24,0.41,0.31,0.13,1006,19,696,40%,0%,0,2
1003,Ucal,KR ,2,0%,1.6,3.5,4.5,3.5,8.6,379,67.9%,25.7,545,-,-,-,-,-,-,-,-,-,-,-
1004,Uciu,PL ,5,40%,4.8,4,1.8,4.6,6.3,379,74.6%,20.9,399,1.23,0.14,0.26,0.13,387,5,268,0%,0%,0,2
1005,UmTi,KR ,10,50%,3.3,1.3,2.2,5.9,5.4,321,79.2%,19.1,429,2.11,0.47,0.61,0.35,-76,-4,-203,40%,0%,0,2
1006,Undefined,GR ,2,0%,0.6,0.5,3.5,1.5,1.2,205,40%,5.2,73,2.18,1.23,0.3,0.36,-694,0,-355,0%,50%,0,-
1007,Universe,ES ,4,50%,6,5.8,1.8,4.8,8.9,420,58.9%,24.4,579,1.04,0.34,0.19,0.14,588,12,494,75%,0%,0,-
1008,Unkn0wn5,GR ,2,50%,6,6,1.5,3,10.8,509,72.3%,40,900,1.47,0.35,0.39,0.13,973,8,728,100%,0%,0,-
1009,Urgaleex,ES ,4,25%,1.6,0.3,3.3,5,6.6,311,49.8%,19.8,388,1.01,0.31,0.2,0.11,-1289,-34,-892,0%,50%,0,-
1010,V1PER,CA ,2,50%,4.6,6,2.5,5.5,8.4,436,63.7%,20.7,552,1.21,0.42,0.21,0.11,-410,-11,520,50%,0%,0,-
1011,Vahvel,BR ,2,0%,0.8,0,6.5,5,0.3,195,75%,6.9,139,2.38,1.4,0.3,0.34,-503,-1,-587,0%,0%,0,-
1012,Vaunted,DE ,4,0%,1.3,0,3.3,4.3,0.6,201,57.7%,10.1,193,2.64,1.58,0.35,0.3,-501,2,-234,0%,0%,0,-
1013,Vaynedeta,GR ,2,50%,4,5.5,2.5,4.5,9.3,476,71.3%,26.9,538,1.18,0.3,0.4,0.11,608,18,-43,50%,0%,0,-
1014,Veignorem,FR ,4,25%,2,0.3,3.8,7.3,1,220,74.3%,11.9,180,2.82,1.57,0.42,0.34,-266,1,130,0%,25%,0,-
1015,Velja,RS ,2,50%,3.6,3.5,3.5,9,4.7,348,60.2%,12.1,375,1.76,0.31,0.42,0.27,203,-22,-466,50%,0%,0,-
1016,Venour,DE ,4,75%,1.9,2,2.8,3.3,8,397,36.4%,23.4,626,0.98,0.35,0.15,0.09,-704,-9,-329,0%,0%,0,1
1017,Ventair,DE ,4,25%,1.8,1.3,2,2.3,8.3,370,41.6%,26.1,471,0.87,0.32,0.12,0.15,236,-3,171,0%,0%,0,1
1018,Venzer,BG ,2,100%,4.8,0.5,4,18.5,0.6,277,84.3%,6.8,201,2.82,1.45,0.3,0.51,292,6,-282,0%,0%,0,-
1019,Vertigo,AT ,4,0%,1.7,2.8,3,2.3,8.1,364,67.3%,22.2,425,0.7,0.26,0.15,0.04,-817,-10,-718,25%,0%,0,2
1020,Vespa,FR ,6,50%,2.4,7.2,4,2.3,9.5,481,78%,33.6,678,1.26,0.38,0.34,0.13,276,2,476,33.3%,16.7%,1,2
1021,Vetheo,FR ,5,20%,2.3,1.6,3.2,5.6,8.7,388,66.2%,20,484,1.14,0.3,0.2,0.17,-499,-15,-714,20%,0%,0,-
1022,Viciun,CL ,2,0%,0,0,3,0,8.4,326,0%,19.5,280,1.23,0.38,0.38,0.16,-1640,-6,-970,0%,0%,0,-
1023,Vicla,KR ,2,100%,4,2.5,2.5,7.5,8.4,391,62.5%,24.3,608,1.31,0.48,0.33,0.33,184,16,363,100%,0%,0,2
1024,Vigil,IT ,2,50%,4.5,1.5,3,12,7.3,362,64.5%,18.8,579,0.93,0.34,0.13,0.14,-228,-15,-536,0%,0%,0,1
1025,Viketox,ES ,4,50%,5.2,1.5,2.3,10.3,1.3,256,66.4%,10.1,244,2.93,1.59,0.33,0.54,788,6,452,25%,0%,0,1
1026,Vincenzo,KR ,9,22.2%,2.3,1.3,4.4,8.9,4.8,296,76%,14.1,333,1.58,0.38,0.39,0.38,-418,-3,-175,55.6%,0%,0,-
1027,Violet,HK ,2,100%,6.3,3,1.5,6.5,9.7,485,79.2%,32.1,684,1.08,0.44,0.17,0.17,1919,48,1313,50%,50%,0,-
1028,Viper,KR ,10,40%,3.1,2.4,1.9,3.5,9.8,427,65.5%,30.8,708,1.36,0.51,0.4,0.23,50,9,-135,0%,20%,0,-
1029,Visdom,DK ,4,25%,3.1,0,2.3,7,0.6,224,75.4%,11.5,222,2.46,1.44,0.24,0.33,-172,-1,328,75%,25%,0,-
1030,Vital,KR ,10,30%,4.1,3.5,1.8,3.8,10.2,435,66.8%,29.3,603,1.33,0.43,0.44,0.17,-308,-6,-9,30%,0%,0,-
1031,Vizi,CZ ,1,0%,3,1,1,2,1,230,100%,13.2,208,2.15,0.95,0.41,0.33,295,3,159,0%,0%,0,-
1032,Vizicsacsi,HU ,4,50%,2.9,2,2.5,5.3,8.1,400,50.7%,23.7,532,1.25,0.45,0.23,0.22,91,-6,-88,25%,0%,0,2
1033,Vladi,GR ,2,100%,8,6,1.5,6,9.2,491,74.6%,27.1,593,0.96,0.36,0.18,0.14,1992,16,920,100%,0%,0,2
1034,Voice,AU ,1,0%,0.3,1,3,0,8.9,342,50%,29,359,0.61,0.25,0.2,0.04,-815,-1,-275,0%,100%,0,-
1035,Vortum,PT ,2,50%,2,1,2.5,4,7.2,394,55.8%,31.7,640,1.45,0.4,0.13,0.08,-372,-26,-836,0%,50%,0,-
1036,Vulcan,CA ,2,50%,4,0.5,2,7.5,0.7,228,48.6%,13.9,332,3.91,2,0.47,0.39,468,-10,-336,100%,0%,0,-
1037,Vzz,BG ,2,100%,3.6,5,3.5,7.5,8.3,429,50.5%,21.9,823,1.25,0.39,0.34,0.1,52,3,152,50%,0%,0,-
1038,Wao,FR ,2,100%,11.5,8,1,3.5,7.4,480,56.6%,21.1,508,0.57,0.26,0.08,0.06,1103,8,302,50%,0%,0,1
1039,Warner,TR ,2,0%,1,1,2.5,1.5,9.7,367,50%,43.4,559,1.13,0.49,0.3,0.26,-320,4,176,0%,0%,0,-
1040,Washidai,JP ,2,0%,2.4,4,4,5.5,7.2,361,75.7%,19,471,1,0.39,0.1,0.19,-254,-10,310,50%,0%,0,-
1041,Water,BE ,2,50%,5.4,5,2.5,8.5,8.2,433,84.1%,33.4,828,1.33,0.37,0.32,0.19,-396,-4,-526,0%,0%,0,-
1042,Wei,CN ,4,50%,1.9,2.3,3.5,4.5,5.2,334,69.8%,15,287,-,-,-,-,-,-,-,-,-,-,-
1043,Weizor,SE ,2,50%,1.7,4,4.5,3.5,7.2,384,48.5%,23.6,572,1.1,0.47,0.04,0.15,-621,-9,-1020,0%,50%,0,1
1044,Wendel,DK ,2,0%,1.5,0,8,12,0.9,221,59.9%,6.8,222,2.69,1.32,0.38,0.28,-1062,8,-904,50%,50%,0,-
1045,Westlander,SE ,4,25%,1.6,2,3.5,3.8,8,399,58.6%,24.8,424,1.19,0.42,0.17,0.18,-214,7,-320,25%,0%,0,2
1046,White,FR ,4,100%,5.1,2.3,2,8,4.9,320,62.6%,17.4,413,1.49,0.38,0.28,0.34,-833,-18,-577,25%,25%,0,2
1047,Whiteknight,FI ,5,60%,4.6,2,1.6,5.4,7.5,365,53.6%,14.5,306,1.25,0.45,0.22,0.13,-585,-19,-455,20%,0%,0,1
1048,Whynot,NZ ,2,0%,1.5,3.5,5.5,4.5,5,324,69.3%,16.5,365,1.49,0.35,0.28,0.23,383,-5,-208,0%,50%,0,-
1049,WildTurtle,CA ,7,42.9%,2.6,3.4,3.3,5,8.4,407,53.8%,25.5,611,0.83,0.3,0.21,0.09,-600,-17,-28,0%,14.3%,0,1
1050,Willer,KR ,11,54.5%,2.5,1.7,2.3,3.9,5.5,317,53.8%,11.6,239,2.11,0.58,0.54,0.48,10,3,-16,45.5%,9.1%,0,1
1051,Wind,KR ,2,0%,0.5,0,4,2,7.7,327,37.5%,20.6,344,1,0.33,0.21,0.07,-174,-2,-430,0%,0%,0,-
1052,Wink,CN ,4,100%,12.8,1.8,1.3,14.3,1.1,292,75.4%,10.5,276,-,-,-,-,-,-,-,-,-,-,-
1053,Winner,KR ,10,20%,1.4,1.1,2.9,3.1,5.5,306,57.7%,13.1,221,1.51,0.32,0.39,0.28,-812,-2,-145,0%,10%,0,-
1054,Winsome,US ,2,100%,20,0,0.5,10,0.6,254,62.5%,3.9,97,3.05,1.54,0.38,0.43,34,4,72,50%,0%,0,-
1055,Wixo,FR ,6,66.7%,3.7,0.5,2.7,9.3,0.6,224,72.2%,9.5,203,2.36,1.2,0.32,0.37,-90,-9,-72,33.3%,33.3%,0,-
1056,Wixxi,US ,7,28.6%,2.8,4.7,3.3,4.4,8.6,414,66.4%,20.4,480,1.12,0.35,0.28,0.08,-311,-3,-429,0%,14.3%,0,-
1057,Wizer,KR ,4,25%,2.1,3.5,3.5,3.8,8.3,387,75.1%,24.9,525,1.31,0.37,0.24,0.18,-223,-6,-604,0%,0%,0,1
1058,Woden,FR ,6,0%,1.5,1.5,5,6,5,313,72.9%,14.7,272,1.15,0.29,0.23,0.31,159,1,272,33.3%,0%,0,-
1059,Wojtus,PL ,3,100%,8.2,1,1.7,12.7,0.3,278,68.8%,11.1,294,2.37,1.27,0.17,0.23,222,-3,427,0%,0%,0,-
1060,Wondro,SK ,1,0%,1,1,2,1,7.7,342,66.7%,26.7,421,1.04,0.41,0.12,0.08,-353,-2,-754,0%,0%,0,-
1061,Woolite,PL ,2,100%,27,6.5,0.5,7,9.4,472,64.7%,33.1,793,1.22,0.51,0.17,0.18,562,-3,-240,50%,0%,0,-
