,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
764,QUICKTIMER,NL ,2,100%,6,0.5,2,11.5,1.1,254,51%,10.3,284,2.82,1.4,0.26,0.3,-237,5,682,0%,0%,0,1
765,Qats,BR ,2,50%,5,7.5,3.5,10,8.4,417,72.8%,29.7,936,1.31,0.34,0.17,0.17,170,2,632,0%,50%,0,3
766,Qing,CN ,2,0%,1,1.5,3,1.5,8.4,369,65%,28.3,500,-,-,-,-,-,-,-,-,-,-,-
767,Qingtian,CN ,5,60%,2.4,2.2,2.4,3.6,8,387,51.8%,21.4,408,-,-,-,-,-,-,-,-,-,-,-
768,Qitong,US ,6,83.3%,4.8,1.3,3.2,14,0.7,273,79.8%,8.3,212,2.32,1.15,0.23,0.3,208,2,-197,33.3%,0%,0,-
769,Quid,KR ,10,20%,2.3,1.9,2.3,3.4,9.7,389,69.8%,31.7,489,1.32,0.41,0.33,0.19,85,9,108,10%,0%,0,-
770,R4VEN,PL ,5,80%,6.6,2.2,1,4.4,7.8,371,52.6%,16.8,347,1.09,0.4,0.2,0.23,-91,2,9,20%,0%,0,2
771,RAV3N,BR ,2,100%,7.3,4.5,2,10,8.9,441,72.3%,18.5,522,1.62,0.56,0.4,0.27,220,6,-68,0%,0%,0,-
772,Rabble,NL ,5,60%,3.4,2.2,2.8,7.2,6.3,350,66.4%,18.5,435,1.12,0.14,0.29,0.12,609,12,569,40%,0%,0,1
773,Raedz,ES ,4,50%,3.8,1.8,1.5,4,8.3,401,46.5%,17.8,407,0.83,0.42,0.07,0.13,21,6,511,0%,0%,0,1
774,Raes,NZ ,2,100%,6.6,8.5,2.5,8,8.3,512,66%,27.3,651,0.92,0.36,0.22,0.1,-55,-15,-222,50%,0%,0,-
775,Rafitta,ES ,5,40%,2.4,3,3.4,5.2,8.7,385,71.2%,20.6,396,0.83,0.37,0.19,0.16,-520,-10,-518,0%,0%,0,-
776,Ragner,TR ,4,50%,2.1,1.5,3.8,6.5,8.1,376,53.4%,21.5,469,1.07,0.45,0.18,0.16,-485,-16,-272,0%,0%,0,-
777,Rahel,KR ,10,80%,6.9,5.2,1.6,5.8,10.3,476,64.8%,27,585,1.49,0.52,0.44,0.17,617,12,182,10%,20%,0,2
778,Raina,JP ,3,33.3%,3,1.3,2.3,5.7,0.9,252,58.9%,10.7,238,2.8,1.32,0.42,0.39,270,4,453,33.3%,33.3%,0,-
779,Raining,SK ,1,0%,10,3,1,7,11.2,479,83.3%,34,737,1.23,0.54,0.25,0.2,656,9,600,0%,0%,0,-
780,Rames,TR ,2,50%,2.4,1,2.5,5,5.3,319,76.7%,13.5,288,1.06,0.26,0.18,0.26,-819,-1,-448,0%,0%,0,-
781,Random,CZ ,5,80%,3.9,6.6,3.4,6.6,8.9,450,74.2%,30.3,881,1.06,0.43,0.15,0.06,75,-0,140,0%,0%,0,-
782,Ranger,BR ,4,75%,4.4,1.8,2.3,8.3,5.6,346,60.5%,13,322,1.82,0.36,0.36,0.3,-223,2,101,50%,0%,0,-
783,RapMonsters,PT ,2,0%,1.8,2,3,3.5,7.9,336,47.9%,24.6,474,0.82,0.29,0.2,0.05,397,10,756,0%,0%,0,1
784,Raptor,KR ,2,0%,1.5,1,2,2,5.3,285,100%,25.1,375,1.24,0.21,0.29,0.18,-362,16,217,50%,0%,0,-
785,Rascal,KR ,9,33.3%,1.6,2.2,3.2,3,8.3,378,63.3%,23.5,528,0.95,0.31,0.25,0.14,-305,-7,-361,11.1%,22.2%,0,5
786,Raxxo,PL ,4,75%,2.9,0.3,3.5,10,0.8,221,67%,8,180,2.71,1.45,0.19,0.38,-252,8,-420,0%,0%,0,-
787,Ray,KR ,4,75%,5.8,1.5,1.3,5.8,8.3,378,54.6%,25.1,529,1.31,0.49,0.2,0.17,354,13,368,25%,0%,0,-
788,RayFarky,JP ,3,33.3%,2.1,3.7,2.3,1.3,9.3,442,38.9%,21.8,484,0.88,0.36,0.16,0.17,124,8,-60,0%,33.3%,0,4
789,Rayito,ES ,5,80%,4,4,2.2,4.8,9.6,433,76.1%,33.5,694,0.96,0.47,0.14,0.2,-185,-4,65,40%,0%,0,-
790,Rayming,FR ,1,0%,0.8,1,5,3,9,366,30.8%,17,304,1.09,0.31,0.24,0.14,-220,3,290,0%,0%,0,-
791,Razork,ES ,5,40%,2.1,3.4,4.6,6.2,5.6,354,82.2%,22.6,578,1.51,0.22,0.38,0.2,-506,-4,-104,0%,20%,0,-
