,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
144,Vladimir,2,1,1%,1,1,50%,6.3,9.0,30:11,7.7,622,378,3,-47,143
145,Volibear,2,3,1%,2,0,100%,10.0,8.7,25:04,5.1,199,369,2,1072,-573
146,Warwick,1,0,0%,1,0,100%,2.0,-,28:59,6.9,627,350,15,59,87
147,Wukong,192,136,70%,85,107,44%,3.0,5.1,32:52,5.3,330,337,-1,-71,-91
148,Xayah,20,9,6%,11,9,55%,4.2,8.1,33:54,9.7,681,453,6.4,492,339
149,Xerath,1,3,1%,1,0,100%,15.0,9.3,42:00,2.9,564,350,-114,-1882,-2724
150,Xin,10,6,3%,4,6,40%,2.2,8.5,28:08,5.4,346,355,-4.1,-230,-86
151,Yasuo,6,11,4%,6,0,100%,6.6,6.6,31:33,9.2,383,456,6.3,868,13
152,Yone,27,20,10%,16,11,59%,2.9,7.2,32:24,9.1,488,410,4.4,270,304
153,Yorick,0,0,0%,,,,,-,,,,,,,
154,Yuumi,117,229,74%,54,63,46%,6.2,4.1,31:35,0.2,246,231,-6.7,-136,232
155,Zac,15,17,7%,10,5,67%,4.4,3.5,30:44,5.5,387,352,-6.4,-61,75
156,Zed,1,0,0%,0,1,0%,2.7,-,35:42,8.6,631,355,0,-35,7
157,Zeri,182,77,55%,81,101,45%,3.9,4.2,31:50,9.7,570,441,-1.2,-66,-115
158,Ziggs,2,2,1%,1,1,50%,7.3,5.5,29:28,8.6,639,435,2.5,327,582
159,Zilean,2,5,1%,2,0,100%,13.0,4.6,37:43,2.5,255,263,39,184,1868
160,Zoe,2,5,1%,1,1,50%,10.5,5.8,30:52,7.8,697,382,13.5,686,291
161,Zyra,1,0,0%,0,1,0%,1.3,-,36:26,0.8,277,245,-12,410,292
